"","IP","age_read","destination","experimentName","grade","idnumber","lang","sex","time","time_in_a_week","userCode","userFileName","year"
"90","46.34.206.241",4,"agreement.csv","lopuhinpredicttest",7,"150","русский","female",NA,"min30","KOT107",107,13
"91","81.91.184.234",7,"agreement.csv","lopuhinpredicttest",9,"404","Русский","female",NA,"min30","FEN108",108,14
"92","81.91.184.234",7,"agreement.csv","lopuhinpredicttest",9,"404","Русский","female",NA,"min30","ZEL109",109,14
"93","188.170.77.4",4,"agreement.csv","lopuhinpredicttest",6,"406","Русский ","female",NA,"min100500","UQF110",110,12
"94","213.251.228.204",4,"agreement.csv","lopuhinpredicttest",10,"не знаю","Русский","female",NA,"min90","CDU113",113,16
"95","95.220.52.180",5,"agreement.csv","lopuhinpredicttest",0,"331","русский","male",NA,"min90","ASV114",114,49
"96","95.220.52.180",7,"agreement.csv","lopuhinpredicttest",332,"332","русский","female",NA,"min10","CWV115",115,21
"97","89.42.60.202",5,"agreement.csv","lopuhinpredicttest",6,"433","Русский","female",NA,"min60","HID117",117,11
"98","89.42.204.196",-5,"agreement.csv","lopuhinpredicttest",-6,"","русский ","male",NA,"min60","DDS118",118,12
"99","178.89.60.116",3,"agreement.csv","lopuhinpredicttest",11,"435","Русский ","female",NA,"min90","SZA119",119,17
"100","46.242.8.229",3,"agreement.csv","lopuhinpredicttest",6,"","русский","female",NA,"min100500","PYZ120",120,12
"101","46.242.8.229",3,"agreement.csv","lopuhinpredicttest",6,"","русский","female",NA,"min100500","YPX121",121,12
"102","109.252.83.232",5,"agreement.csv","lopuhinpredicttest",6,"196","Русский","male",NA,"min60","JJP122",122,12
"103","79.139.180.106",4,"agreement.csv","lopuhinpredicttest",6,"198","русский","female",NA,"min100500","QQU123",123,12
"104","109.252.83.232",5,"agreement.csv","lopuhinpredicttest",6,"196","Русский","male",NA,"min60","WTL124",124,12
"105","178.129.45.48",-4,"agreement.csv","lopuhinpredicttest",-6,"436","русский","male",NA,"min100500","NCB125",125,12
"106","178.129.45.48",3,"agreement.csv","lopuhinpredicttest",6,"436","русский","female",NA,"min60","WCZ126",126,12
"107","212.45.80.104",5,"agreement.csv","lopuhinpredicttest",7,"Это че","Кыргызкий родной‚ говорю на русском","female",NA,"min10","LII127",127,13
"108","89.42.62.225",5,"agreement.csv","lopuhinpredicttest",6,"","Руский‚англ","female",NA,"min60","GOC128",128,12
"109","89.42.62.225",5,"agreement.csv","lopuhinpredicttest",6,"","Русский‚англиский","female",NA,"min60","LDK129",129,12
"110","89.42.62.225",5,"agreement.csv","lopuhinpredicttest",6,"0","Русский‚англ","female",NA,"min60","XLN130",130,12
"111","176.59.110.224",6,"agreement.csv","lopuhinpredicttest",4,"Не знаю","Русский ну немного английский","female",NA,"min60","WET132",132,11
"112","93.175.11.47",5,"agreement.csv","lopuhinpredicttest",15,"440","Русский","female",NA,"min60","VWL133",133,21
"113","188.32.251.186",3,"agreement.csv","lopuhinpredicttest",0,"443","Русский","male",NA,"min100500","XNC134",134,22
"114","195.189.49.113",7,"agreement.csv","lopuhinpredicttest",5,"87052252327 ","Руссктй язык","female",NA,"min30","XAQ135",135,11
"115","109.252.20.218",4,"agreement.csv","lopuhinpredicttest",10,"60","Русский","female",NA,"min100500","GJZ136",136,15
"116","89.42.206.137",5,"agreement.csv","lopuhinpredicttest",7,"","Русский ","female",NA,"min10","DLT137",137,13
"117","185.210.141.8",9,"agreement.csv","lopuhinpredicttest",6,"Незнаю ","Русский ","female",NA,"min10","JBF139",139,12
"118","185.210.141.8",9,"agreement.csv","lopuhinpredicttest",6,"Незнаю ","Русский ","female",NA,"min10","IXZ140",140,12
"119","89.113.139.112",6,"agreement.csv","lopuhinpredicttest",6,"453","Русский","female",NA,"min30","LLX144",144,12
"120","89.113.139.112",6,"agreement.csv","lopuhinpredicttest",6,"454","Русский","female",NA,"min60","FNK145",145,12
